letter	frequency
03-15	0.00157480314961
03-16	0.00404858299595
03-17	0.00955414012739
03-18	0.00651465798046
03-22	0.00358422939068
03-23	0.00392156862745
03-27	0.003663003663
04-01	0.0106157112527
04-05	0.0195439739414
04-16	0.0061919504644
04-19	0.0036832412523
04-20	0.00259067357513
