letter	frequency
03-19	0.0177664974619
03-20	0.0185185185185
03-22	0.00358422939068
03-23	0.0078431372549
03-24	0.00342465753425
03-27	0.003663003663
03-28	0.00367647058824
03-29	0.00352112676056
04-01	0.00212314225053
04-05	0.00651465798046
04-19	0.00552486187845
04-20	0.00518134715026
05-07	0.0025
