key,value,date
dupont,0.00212314225053,2017-04-01
cheminade,0.0,2017-03-15
cheminade,0.0,2017-03-16
cheminade,0.0031847133758,2017-03-17
cheminade,0.00325732899023,2017-03-18
cheminade,0.0,2017-03-19
cheminade,0.0037037037037,2017-03-20
cheminade,0.0,2017-03-21
cheminade,0.0,2017-03-22
cheminade,0.00392156862745,2017-03-23
cheminade,0.0,2017-03-24
cheminade,0,2017-03-25
cheminade,0.0,2017-03-26
cheminade,0.0,2017-03-27
cheminade,0.0,2017-03-28
cheminade,0.0,2017-03-29
cheminade,0,2017-03-30
cheminade,0.0,2017-03-31
cheminade,0.0,2017-04-01
arthaud,0.00157480314961,2017-03-15
arthaud,0.0,2017-03-16
arthaud,0.0031847133758,2017-03-17
arthaud,0.0,2017-03-18
arthaud,0.0,2017-03-19
arthaud,0.0,2017-03-20
arthaud,0.0,2017-03-21
arthaud,0.0,2017-03-22
arthaud,0.0,2017-03-23
arthaud,0.0,2017-03-24
arthaud,0,2017-03-25
arthaud,0.0,2017-03-26
arthaud,0.0,2017-03-27
arthaud,0.0,2017-03-28
arthaud,0.0,2017-03-29
arthaud,0,2017-03-30
arthaud,0.0,2017-03-31
arthaud,0.00212314225053,2017-04-01
